Name,Manufacturer,Availability,Quantity,Price,Images_link
Chicnutrix Super C - Amla Extract & Zinc - Natural Vitamin C For Skin Protection - Orange Flavour - 20 Effervescent Tablets,Chicnutrix,TRUE,20,390,['https://cdn01.pharmeasy.in/dam/products_otc/R95764/chicnutrix-super-c-amla-extract-zinc-natural-vitamin-c-for-skin-protection-orange-flavour-20-effervescent-tablets-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Citro Soda Sf Sach 4gm,CITRO SODA,TRUE,20,18.98,['https://cdn01.pharmeasy.in/dam/products_otc/042320/citro-soda-sf-sach-4gm-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Clean & Clear Facial Wash - 100ml,Clean & Clear,TRUE,20,130,['https://cdn01.pharmeasy.in/dam/products_otc/228679/clean-clear-facial-wash-100ml-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Clean & Clear Facial Wash - 150ml,Clean & Clear,TRUE,20,165,['https://cdn01.pharmeasy.in/dam/products_otc/V83504/clean-clear-facial-wash-150ml-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Clean & Clear Morning Energy Aqua Splash Face Wash - 100ml,Clean & Clear,TRUE,20,135,['https://cdn01.pharmeasy.in/dam/products_otc/T35462/clean-clear-morning-energy-aqua-splash-face-wash-100ml-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Clean & Clear Morning Energy Aqua Splash Face Wash - 150ml,Clean & Clear,TRUE,20,175,['https://cdn01.pharmeasy.in/dam/products_otc/K02879/clean-clear-morning-energy-aqua-splash-face-wash-150ml-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Elovera Imf Cream 50 Gm,Elovera,TRUE,20,280,['https://cdn01.pharmeasy.in/dam/products_otc/065719/elovera-imf-cream-50-gm-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Elovera Imf Lotion 50ml,Elovera,TRUE,20,280,['https://cdn01.pharmeasy.in/dam/products_otc/065718/elovera-imf-lotion-50ml-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Elovera Lotion 150ml,Elovera,TRUE,20,365,['https://cdn01.pharmeasy.in/dam/products_otc/065721/elovera-lotion-150ml-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Elovera Lotion 75ml,Elovera,TRUE,20,230,['https://cdn01.pharmeasy.in/dam/products_otc/239586/elovera-lotion-75ml-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Elovera Spf 15 Sunscreen Lotion 60ml,Elovera,TRUE,20,299,['https://cdn01.pharmeasy.in/dam/products_otc/065720/elovera-spf-15-sunscreen-lotion-60ml-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Emami 7 Oils In One - 200ml,Emami,TRUE,20,120,['https://cdn01.pharmeasy.in/dam/products_otc/Z08552/emami-7-oils-in-one-200ml-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Emami 7 Oils In One Damage Control Hair Oil - 100ml,Emami,TRUE,20,63,['https://cdn01.pharmeasy.in/dam/products_otc/I05668/emami-7-oils-in-one-damage-control-hair-oil-100ml-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Everyuth Naturals Micellar Cleanser - 100ml,Everyuth Naturals,TRUE,20,225,['https://cdn01.pharmeasy.in/dam/products_otc/J15455/everyuth-naturals-micellar-cleanser-100ml-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Everyuth Naturals Tan Removal Serum - 30ml,Everyuth Naturals,TRUE,20,299,['https://cdn01.pharmeasy.in/dam/products_otc/O77966/everyuth-naturals-tan-removal-serum-30ml-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Ezee Medical Bouffant Cap - 90 Pcs,Ezee,TRUE,20,50,['https://cdn01.pharmeasy.in/dam/products_otc/O24862/ezee-medical-bouffant-cap-90-pcs-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
